batter,total_runs,balls_played,innings,strike_rate,dismissals,average,boundary_runs,boundary_percent,dot_balls,dot_ball_percent,consistency_score,total_50s,total_100s,best_batting,total_wickets,best_bowling,best_batting_runs,best_batting_balls,best_bowling_wickets,best_bowling_runs
Shashank Singh,807,531,36,151.9774011299435,19.0,42.47368421052632,500.0,61.957868649318456,163.0,30.69679849340866,20.023379192476835,5.0,0.0,68,3.0,2.0,68,29,2.0,20.0
MS Bisla,798,737,39,108.27679782903662,37.0,21.56756756756757,510.0,63.90977443609023,375.0,50.88195386702849,22.956304206775272,4.0,0.0,92,0.0,0.0,92,64,0.0,0.0
Shakib Al Hasan,795,665,52,119.54887218045114,40.0,19.875,418.0,52.57861635220126,239.0,35.93984962406015,15.12346124204602,2.0,0.0,66,71.0,3.0,66,50,3.0,17.0
ST Jayasuriya,768,573,30,134.03141361256544,29.0,26.48275862068965,570.0,74.21875,292.0,50.95986038394416,25.026330961195853,4.0,1.0,114,16.0,4.0,114,53,4.0,14.0
C Green,763,513,33,148.7329434697856,23.0,33.17391304347826,472.0,61.861074705111406,155.0,30.214424951267056,23.19584765609674,2.0,1.0,100,21.0,2.0,100,47,2.0,12.0
M Shahrukh Khan,747,527,50,141.74573055028463,32.0,23.34375,494.0,66.13119143239625,203.0,38.51992409867172,13.759464275285469,2.0,0.0,58,1.0,1.0,58,31,1.0,13.0
N Wadhera,746,551,34,135.39019963702358,29.0,25.724137931034484,486.0,65.14745308310992,218.0,39.56442831215971,20.72173675953709,4.0,0.0,70,0.0,0.0,70,37,0.0,9.0
GC Smith,739,691,29,106.9464544138929,30.0,24.633333333333333,430.0,58.18673883626523,320.0,46.30969609261939,25.820286445317112,4.0,0.0,91,0.0,0.0,91,52,0.0,0.0
AD Mathews,724,599,41,120.86811352253756,31.0,23.35483870967742,350.0,48.34254143646409,207.0,34.5575959933222,14.90068749437012,1.0,0.0,65,28.0,4.0,65,49,4.0,20.0
SN Khan,707,527,40,134.15559772296015,33.0,21.424242424242426,440.0,62.23479490806223,193.0,36.62239089184061,16.372878605979885,2.0,0.0,67,0.0,0.0,67,60,0.0,6.0
TL Suman,676,587,39,115.1618398637138,30.0,22.53333333333333,376.0,55.62130177514793,255.0,43.4412265758092,16.516870694652166,2.0,0.0,78,7.0,2.0,78,59,2.0,14.0
AM Nayar,672,588,50,114.28571428571428,39.0,17.23076923076923,340.0,50.595238095238095,234.0,39.795918367346935,12.257708944636782,0.0,0.0,45,9.0,3.0,45,20,3.0,13.0
GJ Bailey,663,552,36,120.1086956521739,29.0,22.86206896551724,350.0,52.79034690799397,207.0,37.5,15.457545545322334,2.0,0.0,61,0.0,0.0,61,33,0.0,0.0
Abishek Porel,661,454,29,145.59471365638768,29.0,22.79310344827586,422.0,63.8426626323752,155.0,34.1409691629956,18.885707578455094,3.0,0.0,65,0.0,0.0,65,36,0.0,0.0
E Lewis,654,499,26,131.062124248497,24.0,27.25,464.0,70.9480122324159,234.0,46.89378757515031,21.74155892790084,4.0,0.0,65,0.0,0.0,65,44,0.0,0.0
Priyansh Arya,648,351,21,184.6153846153846,21.0,30.857142857142858,518.0,79.93827160493827,132.0,37.60683760683761,27.75119045065583,4.0,1.0,103,0.0,0.0,103,43,0.0,0.0
